"node","time","Ssows","Isows","Sgilts","Igilts","Spiglets","Ipiglets","Sgrowers","Igrowers","Sfinish","Ifinish","pentype","section","countdown","phi"
232,730,0,1,0,0,0,11,0,0,0,0,7,6,99999,0
233,730,0,1,0,0,0,21,0,0,0,0,7,6,99999,0
234,730,0,1,0,0,0,16,0,0,0,0,7,6,99999,0
235,730,0,1,0,0,0,13,0,0,0,0,7,6,99999,0
236,730,0,1,0,0,0,9,0,0,0,0,7,6,99999,0
237,730,0,1,0,0,0,12,0,0,0,0,7,6,99999,0
238,730,0,1,0,0,0,17,0,0,0,0,7,6,99999,0
239,730,0,1,0,0,0,11,0,0,0,0,7,6,99999,0
240,730,0,1,0,0,0,11,0,0,0,0,7,6,99999,0
241,730,0,1,0,0,0,14,0,0,0,0,7,6,99999,0
242,730,0,1,0,0,0,6,0,0,0,0,7,6,99999,0
243,730,0,1,0,0,0,13,0,0,0,0,7,6,99999,0
244,730,0,1,0,0,0,8,0,0,0,0,7,6,99999,0
245,730,0,1,0,0,0,10,0,0,0,0,7,6,99999,0
246,730,0,1,0,0,0,16,0,0,0,0,7,6,99999,0
247,730,0,1,0,0,0,9,0,0,0,0,7,6,99999,0
248,730,0,1,0,0,0,21,0,0,0,0,7,6,99999,0
249,730,0,0,0,0,0,0,0,0,0,0,7,6,99999,0
250,730,0,0,0,0,0,0,0,0,0,0,7,6,99999,0
251,730,0,0,0,0,0,0,0,0,0,0,7,6,99999,0
252,730,0,0,0,0,0,0,0,0,0,0,7,6,99999,0
253,730,0,0,0,0,0,0,0,0,0,0,7,6,99999,0
254,730,0,0,0,0,0,0,0,0,0,0,7,6,99999,0
255,730,0,0,0,0,0,0,0,16,0,0,8,1,99999,0
256,730,0,0,0,0,0,0,0,13,0,0,8,1,99999,0
257,730,0,0,0,0,0,0,0,8,0,0,8,1,99999,0
258,730,0,0,0,0,0,0,0,15,0,0,8,1,99999,0
259,730,0,0,0,0,0,0,0,18,0,0,8,1,99999,0
260,730,0,0,0,0,0,0,0,14,0,0,8,1,99999,0
261,730,0,0,0,0,0,0,0,9,0,0,8,1,99999,0
262,730,0,0,0,0,0,0,0,14,0,0,8,1,99999,0
263,730,0,0,0,0,0,0,0,15,0,0,8,1,99999,0
264,730,0,0,0,0,0,0,0,13,0,0,8,1,99999,0
265,730,0,0,0,0,0,0,0,10,0,0,8,1,99999,0
266,730,0,0,0,0,0,0,0,16,0,0,8,1,99999,0
267,730,0,0,0,0,0,0,0,9,0,0,8,1,99999,0
268,730,0,0,0,0,0,0,0,15,0,0,8,1,99999,0
269,730,0,0,0,0,0,0,0,9,0,0,8,1,99999,0
270,730,0,0,0,0,0,0,0,13,0,0,8,1,99999,0
271,730,0,0,0,0,0,0,0,12,0,0,8,1,99999,0
272,730,0,0,0,0,0,0,0,7,0,0,8,1,99999,0
273,730,0,0,0,0,0,0,0,11,0,0,8,1,99999,0
274,730,0,0,0,0,0,0,0,10,0,0,8,1,99999,0
275,730,0,0,0,0,0,0,0,17,0,0,8,1,99999,0
276,730,0,0,0,0,0,0,0,9,0,0,8,1,99999,0
277,730,0,0,0,0,0,0,0,0,0,0,8,1,99999,0
278,730,0,0,0,0,0,0,0,0,0,0,8,1,99999,0
279,730,0,0,0,0,0,0,0,0,0,0,8,1,99999,0
280,730,0,0,0,0,0,0,0,0,0,0,8,1,99999,0
281,730,0,0,0,0,0,0,0,9,0,0,8,2,99999,0
282,730,0,0,0,0,0,0,0,6,0,0,8,2,99999,0
283,730,0,0,0,0,0,0,0,13,0,0,8,2,99999,0
284,730,0,0,0,0,0,0,0,9,0,0,8,2,99999,0
285,730,0,0,0,0,0,0,0,20,0,0,8,2,99999,0
286,730,0,0,0,0,0,0,0,12,0,0,8,2,99999,0
287,730,0,0,0,0,0,0,0,13,0,0,8,2,99999,0
288,730,0,0,0,0,0,0,0,9,0,0,8,2,99999,0
289,730,0,0,0,0,0,0,0,8,0,0,8,2,99999,0
290,730,0,0,0,0,0,0,0,11,0,0,8,2,99999,0
291,730,0,0,0,0,0,0,0,9,0,0,8,2,99999,0
292,730,0,0,0,0,0,0,0,12,0,0,8,2,99999,0
293,730,0,0,0,0,0,0,0,12,0,0,8,2,99999,0
294,730,0,0,0,0,0,0,0,10,0,0,8,2,99999,0
295,730,0,0,0,0,0,0,0,10,0,0,8,2,99999,0
296,730,0,0,0,0,0,0,0,13,0,0,8,2,99999,0
297,730,0,0,0,0,0,0,0,15,0,0,8,2,99999,0
298,730,0,0,0,0,0,0,0,10,0,0,8,2,99999,0
299,730,0,0,0,0,0,0,0,7,0,0,8,2,99999,0
300,730,0,0,0,0,0,0,0,12,0,0,8,2,99999,0
301,730,0,0,0,0,0,0,0,12,0,0,8,2,99999,0
302,730,0,0,0,0,0,0,0,0,0,0,8,2,99999,0
303,730,0,0,0,0,0,0,0,0,0,0,8,2,99999,0
304,730,0,0,0,0,0,0,0,0,0,0,8,2,99999,0
305,730,0,0,0,0,0,0,0,0,0,0,8,2,99999,0
306,730,0,0,0,0,0,0,0,0,0,0,8,2,99999,0
307,730,0,0,0,0,0,0,0,9,0,0,8,3,99999,0
308,730,0,0,0,0,0,0,0,12,0,0,8,3,99999,0
309,730,0,0,0,0,0,0,0,16,0,0,8,3,99999,0
310,730,0,0,0,0,0,0,0,12,0,0,8,3,99999,0
311,730,0,0,0,0,0,0,0,16,0,0,8,3,99999,0
312,730,0,0,0,0,0,0,0,13,0,0,8,3,99999,0
313,730,0,0,0,0,0,0,0,14,0,0,8,3,99999,0
314,730,0,0,0,0,0,0,0,13,0,0,8,3,99999,0
315,730,0,0,0,0,0,0,0,11,0,0,8,3,99999,0
316,730,0,0,0,0,0,0,0,20,0,0,8,3,99999,0
317,730,0,0,0,0,0,0,0,18,0,0,8,3,99999,0
318,730,0,0,0,0,0,0,0,14,0,0,8,3,99999,0
319,730,0,0,0,0,0,0,0,13,0,0,8,3,99999,0
320,730,0,0,0,0,0,0,0,15,0,0,8,3,99999,0
321,730,0,0,0,0,0,0,0,10,0,0,8,3,99999,0
322,730,0,0,0,0,0,0,0,13,0,0,8,3,99999,0
323,730,0,0,0,0,0,0,0,19,0,0,8,3,99999,0
324,730,0,0,0,0,0,0,0,12,0,0,8,3,99999,0
325,730,0,0,0,0,0,0,0,13,0,0,8,3,99999,0
326,730,0,0,0,0,0,0,0,13,0,0,8,3,99999,0
327,730,0,0,0,0,0,0,0,16,0,0,8,3,99999,0
328,730,0,0,0,0,0,0,0,14,0,0,8,3,99999,0
329,730,0,0,0,0,0,0,0,0,0,0,8,3,99999,0
330,730,0,0,0,0,0,0,0,0,0,0,8,3,99999,0
331,730,0,0,0,0,0,0,0,0,0,0,8,3,99999,0
332,730,0,0,0,0,0,0,0,0,0,0,8,3,99999,0
333,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
334,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
335,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
336,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
337,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
338,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
339,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
340,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
341,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
342,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
343,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
344,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
345,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
346,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
347,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
348,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
349,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
350,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
351,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
352,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
353,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
354,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
355,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
356,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
357,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
358,730,0,0,0,0,0,0,0,0,0,0,8,4,99999,0
359,730,0,0,0,0,0,0,0,10,0,0,8,5,99999,0
360,730,0,0,0,0,0,0,0,9,0,0,8,5,99999,0
361,730,0,0,0,0,0,0,0,16,0,0,8,5,99999,0
362,730,0,0,0,0,0,0,0,14,0,0,8,5,99999,0
363,730,0,0,0,0,0,0,0,11,0,0,8,5,99999,0
364,730,0,0,0,0,0,0,0,10,0,0,8,5,99999,0
365,730,0,0,0,0,0,0,0,12,0,0,8,5,99999,0
366,730,0,0,0,0,0,0,0,5,0,0,8,5,99999,0
367,730,0,0,0,0,0,0,0,15,0,0,8,5,99999,0
368,730,0,0,0,0,0,0,0,8,0,0,8,5,99999,0
369,730,0,0,0,0,0,0,0,14,0,0,8,5,99999,0
370,730,0,0,0,0,0,0,0,16,0,0,8,5,99999,0
371,730,0,0,0,0,0,0,0,13,0,0,8,5,99999,0
372,730,0,0,0,0,0,0,0,14,0,0,8,5,99999,0
373,730,0,0,0,0,0,0,0,7,0,0,8,5,99999,0
374,730,0,0,0,0,0,0,0,10,0,0,8,5,99999,0
375,730,0,0,0,0,0,0,0,13,0,0,8,5,99999,0
376,730,0,0,0,0,0,0,0,9,0,0,8,5,99999,0
377,730,0,0,0,0,0,0,0,9,0,0,8,5,99999,0
378,730,0,0,0,0,0,0,0,6,0,0,8,5,99999,0
379,730,0,0,0,0,0,0,0,0,0,0,8,5,99999,0
380,730,0,0,0,0,0,0,0,0,0,0,8,5,99999,0
381,730,0,0,0,0,0,0,0,0,0,0,8,5,99999,0
382,730,0,0,0,0,0,0,0,0,0,0,8,5,99999,0
383,730,0,0,0,0,0,0,0,0,0,0,8,5,99999,0
384,730,0,0,0,0,0,0,0,0,0,0,8,5,99999,0
385,730,0,0,0,0,0,0,0,13,0,0,8,6,99999,0
386,730,0,0,0,0,0,0,0,9,0,0,8,6,99999,0
387,730,0,0,0,0,0,0,0,13,0,0,8,6,99999,0
388,730,0,0,0,0,0,0,0,15,0,0,8,6,99999,0
389,730,0,0,0,0,0,0,0,8,0,0,8,6,99999,0
390,730,0,0,0,0,0,0,0,8,0,0,8,6,99999,0
391,730,0,0,0,0,0,0,0,13,0,0,8,6,99999,0
392,730,0,0,0,0,0,0,0,12,0,0,8,6,99999,0
393,730,0,0,0,0,0,0,0,10,0,0,8,6,99999,0
394,730,0,0,0,0,0,0,0,16,0,0,8,6,99999,0
395,730,0,0,0,0,0,0,0,10,0,0,8,6,99999,0
396,730,0,0,0,0,0,0,0,10,0,0,8,6,99999,0
397,730,0,0,0,0,0,0,0,12,0,0,8,6,99999,0
